CONTRIBUTION_ID,CREATED_AT,DONATION_TYPE,CC_TYPE,VALUE
8358260,2024-09-14 01:43:19.229,donation,PayPal,1000
8376233,2024-09-18 12:21:42.045,donation,Visa,50
8381339,2024-09-18 23:28:39.655,donation,Visa,25
9257153,2024-12-28 20:41:03.223,donation,PayPal,500
8371852,2024-09-17 16:48:20.101,donation,PayPal,250
7307191,2024-02-29 00:19:15.968,donation,Visa,150
7301142,2024-02-28 15:24:43.865,donation,Discover,75
7301908,2024-02-28 16:53:05.097,donation,PayPal,75
7301606,2024-02-28 16:15:28.573,donation,Mastercard,100
7304396,2024-02-28 19:30:11.984,donation,Visa,100
7306162,2024-02-28 22:42:02.994,donation,Visa,50
8380861,2024-09-18 22:15:27.332,donation,Venmo,100
6948642,2023-12-28 21:47:54.144,donation,PayPal,100
9133348,2024-12-09 20:14:53.075,donation,Mastercard,5
7308212,2024-02-29 01:45:24.021,donation,Venmo,50
8228895,2024-08-15 18:01:29.492,installment,Visa,20
7301225,2024-02-28 15:36:58.904,donation,ApplePay,25
8643783,2024-10-20 16:39:07.855,donation,ApplePay,500
7306204,2024-02-28 22:46:20.856,donation,ApplePay,500
7322309,2024-02-29 22:31:31.050,donation,Visa,75
7301743,2024-02-28 16:32:43.026,donation,Visa,100
9159462,2024-12-13 15:34:29.241,donation,Visa,150
8575504,2024-10-14 18:30:51.415,donation,PayPal,100
8380228,2024-09-18 20:34:09.101,donation,ApplePay,500
7307812,2024-02-29 01:10:08.445,donation,Visa,250
7304965,2024-02-28 20:39:22.893,donation,Visa,600
6494513,2023-10-12 21:52:59.564,donation,GooglePay,25
7305367,2024-02-28 21:24:04.526,donation,PayPal,25
7302352,2024-02-28 17:31:35.802,donation,ApplePay,25
7302009,2024-02-28 17:02:20.906,donation,PayPal,50
8380299,2024-09-18 20:44:55.226,donation,Visa,500
8639416,2024-10-19 15:16:43.577,donation,ApplePay,500
8380935,2024-09-18 22:27:49.969,donation,Visa,50.92
8035097,2024-06-07 19:06:54.561,donation,PayPal,25
7301110,2024-02-28 15:22:02.033,donation,Mastercard,100
6790821,2023-11-28 23:24:54.135,donation,ApplePay,100
8727058,2024-10-28 18:01:30.001,installment,Visa,100
7305156,2024-02-28 21:01:39.858,donation,Visa,100
8289004,2024-09-03 19:48:00.554,donation,ApplePay,1
8376481,2024-09-18 13:25:04.912,donation,PayPal,200
