DESIGNATION_SELECTION_ID,CONTRIBUTION_ID,DESIGNATION_ID,DESIGNATED_VALUE,DELETED_AT
7483147,9285104,135870,150,
7483148,9285104,136209,100,
7483149,9285104,136759,100,
7483150,9285104,137256,50,
7483151,9285104,137674,100,
7042932,9192887,135787,25,
7042933,9192887,135791,25,
7042934,9192887,137995,10,
7042935,9192887,136045,10,
7042936,9192887,137771,25,
6970078,9114379,138239,30,
6970079,9114379,136674,30,
6970080,9114379,136402,30,
6970081,9114379,136164,30,
6970082,9114379,136159,25,
6322097,8382673,136341,25,
6322098,8382673,135801,25,
6322099,8382673,136606,25,
6322100,8382673,170354,25,
6322101,8382673,185141,25,
6321945,8382516,135747,25,
6321946,8382516,135926,100,
6321947,8382516,208498,25,
6321948,8382516,285276,25,
6321949,8382516,137771,25,
6321884,8382456,137380,25,
6321885,8382456,136554,25,
6321886,8382456,138127,25,
6321887,8382456,137217,25,
6321888,8382456,137605,25,
6321370,8381910,185141,50,
6321371,8381910,136778,50,
6321372,8381910,136333,50,
6321373,8381910,136248,50,
6321374,8381910,136010,50,
6321316,8381859,136190,50,
6321317,8381859,138164,50,
6321318,8381859,136609,50,
6321319,8381859,135803,50,
6321320,8381859,136897,50,
6321011,8381529,135801,200.87,
6321012,8381529,137753,1000,
6321013,8381529,137763,200,
6321014,8381529,137756,100,
6321015,8381529,136359,100,
6320880,8381400,137642,100,
6320881,8381400,185141,100,
6320882,8381400,136278,100,
6320883,8381400,186580,100,
6320884,8381400,135787,100,
6320792,8381305,135783,100,
6320793,8381305,135690,100,
6320794,8381305,170356,100,
6320795,8381305,136341,100,
6320796,8381305,136764,100,
6320656,8381156,170352,25,
6320657,8381156,156719,25,
6320658,8381156,138262,25,
6320659,8381156,136333,25,
6320660,8381156,138108,25,
6319698,8380123,137753,25,
6319699,8380123,137755,25,
6319700,8380123,135738,50,
6319701,8380123,138253,150,
6319702,8380123,135613,100,
6316213,8376258,135801,10,
6316214,8376258,135918,20,
6316215,8376258,136341,20,
6316216,8376258,136647,20,
6316217,8376258,136764,30,
5378617,7309644,135801,50,
5378618,7309644,137104,50,
5378619,7309644,136847,50,
5378620,7309644,170354,50,
5378621,7309644,136604,100,
5378516,7309543,170352,100,
5378517,7309543,136333,50,
5378518,7309543,138021,50,
5378519,7309543,135741,50,
5378520,7309543,135700,50,
5377905,7308916,138270,50,
5377906,7308916,137217,25,
5377907,7308916,136847,25,
5377908,7308916,141935,25,
5377909,7308916,136554,25,
5377099,7308054,136609,25,
5377100,7308054,136606,25,
5377101,7308054,170354,25,
5377102,7308054,136333,25,
5377103,7308054,136179,25,
5376681,7307513,137670,100,
5376682,7307513,135803,100,
5376683,7307513,186580,100,
5376684,7307513,135783,100,
5376685,7307513,137746,200,
5376673,7307508,135801,100,
5376674,7307508,137104,100,
5376675,7307508,137763,50,
5376676,7307508,135786,100,
5376677,7307508,214020,50,
5376477,7307237,137753,500,
5376478,7307237,135801,200.87,
5376479,7307237,137642,100,
5376480,7307237,137756,200,
5376482,7307237,137763,100,
5376061,7306562,137380,50,
5376062,7306562,137754,50,
5376063,7306562,135829,50,
5376064,7306562,185141,50,
5376065,7306562,170356,50,
5375405,7305888,136341,25,
5375406,7305888,135801,10,
5375407,7305888,137041,25,
5375408,7305888,136609,25,
5375409,7305888,138021,15,
5374625,7305056,136476,5000,
5374626,7305056,137600,400,
5374627,7305056,138230,100,
5374628,7305056,137196,100,
5374629,7305056,138262,100,
5374537,7304965,186580,200,
5374538,7304965,136333,100,
5374539,7304965,137380,100,
5374540,7304965,135933,100,
5374541,7304965,137666,100,
5373943,7304305,137205,25,
5373944,7304305,136454,25,
5373945,7304305,136611,25,
5373946,7304305,136570,25,
5373947,7304305,137788,25,
5372167,7302411,136548,10,
5372168,7302411,136823,10,
5372169,7302411,136204,15,
5372170,7302411,137654,15,
5372171,7302411,136815,15,
5372084,7302332,135820,10,
5372085,7302332,137694,10,
5372086,7302332,138104,10,
5372087,7302332,135880,20,
5372088,7302332,135748,10,
5371560,7301787,136248,45,
5371561,7301787,137458,45,
5371562,7301787,137936,35,
5371563,7301787,136197,50,
5371564,7301787,137380,50,
5370956,7301142,137806,25,
5370957,7301142,137358,20,
5370958,7301142,137605,10,
5370959,7301142,135801,5,
5370960,7301142,138258,15,
4971622,6860275,136534,20,
4971623,6860275,136159,20,
4971624,6860275,136164,25,
4971625,6860275,136402,25,
4971626,6860275,138239,25,
6321961,8382529,136278,50,
6321962,8382529,136159,50,
6321963,8382529,136179,50,
6321964,8382529,137193,50,
6318824,8379145,136196,50,
6318825,8379145,137138,50,
6318826,8379145,137061,20,
6318827,8379145,179539,25,
6316453,8376515,137104,25,
6316454,8376515,137691,25,
6316455,8376515,138132,25,
6316456,8376515,137217,25,
6316296,8376344,137061,500,
6316297,8376344,179539,125,
6316298,8376344,136605,125,
6316299,8376344,169687,250,
6210165,8254030,135749,50,
6210166,8254030,136549,50,
6210167,8254030,136960,50,
6210168,8254030,138033,50,
6018759,8028854,137958,25,
6018760,8028854,135755,25,
6018761,8028854,136858,25,
6018762,8028854,136610,25,
6016028,8025740,137393,6.18,
6016029,8025740,137597,6.18,
6016030,8025740,138239,6.18,
6016031,8025740,136847,6.18,
5378156,7309181,137470,15,
5378157,7309181,136604,15,
5378158,7309181,137236,15,
5378159,7309181,137104,15,
5376744,7307605,185141,100,
5376745,7307605,170356,100,
5376746,7307605,208208,100,
5376747,7307605,136764,100,
5376548,7307342,136278,50,
5376549,7307342,137789,50,
5376550,7307342,135747,50,
5376551,7307342,137763,50,
5376296,7306910,137806,25,
5376297,7306910,138104,25,
5376298,7306910,135801,25,
5376299,7306910,137358,25,
5375602,7306088,135801,500,
5375603,7306088,135661,250,
5375604,7306088,136041,250,
5375605,7306088,137479,500,
5375417,7305895,136127,25,
5375418,7305895,138265,25,
5375419,7305895,135801,50,
5375420,7305895,136278,25,
5374834,7305284,136144,50,
5374835,7305284,136774,50,
5374836,7305284,137217,50,
5374837,7305284,137380,50,
5374256,7304656,136131,500,
5374257,7304656,137752,500,
5374258,7304656,137772,500,
5374259,7304656,137811,500,
5374230,7304625,137763,20,
5374231,7304625,136341,20,
5374232,7304625,229604,20,
5374233,7304625,137534,20,
5374015,7304377,135801,25,
5374016,7304377,137061,25,
5374017,7304377,135858,25,
5374018,7304377,136606,25,
5372333,7302571,137217,50,
5372334,7302571,137104,50,
5372335,7302571,138132,50,
5372336,7302571,136609,50,
5370104,7300237,136225,250,
5370105,7300237,221998,250,
5370106,7300237,137459,250,
5370107,7300237,137362,250,
